;pixel,channel,x,y,z
A8,23,0.6,0.8,0.0
B8,1,3.6,0.8,0.0
C8,5,6.6,0.8,0.0
D8,0,9.6,0.8,0.0
E8,9,12.6,0.8,0.0
F8,15,15.8,0.8,0.0
G8,12,19,0.8,0.0
H8,19,22,0.8,0.0
H7,20,22,4.1,0.0
G7,14,19,4.1,0.0
F7,16,15.8,4.1,0.0
E7,18,12.6,4.1,0.0
D7,2,9.6,4.1,0.0
C7,6,6.6,4.1,0.0
B7,11,3.6,4.1,0.0
A7,4,0.6,4.1,0.0
A6,8,0.6,6.7,0.0
B6,7,3.6,6.7,0.0
C6,10,6.6,6.7,0.0
D6,3,9.6,7,0.0
E6,25,12.6,7,0.0
F6,17,15.8,7,0.0
G6,37,19.8,7,0.0
H6,21,22.1,7.1,0.0
H5,29,22.1,10.3,0.0
G5,24,19,10.3,0.0
F5,28,15.8,10.3,0.0
E5,36,12.6,10.3,0.0
D5,30,9.6,10.3,0.0
C5,32,6.6,10.3,0.0
B5,56,3.6,10.3,0.0
A5,31,0.4,10.3,0.0
A4,26,0.4,13.3,0.0
B4,52,3.4,13.3,0.0
C4,63,6.4,13.3,0.0
D4,59,9.4,13.3,0.0
E4,38,12.6,13.3,0.0
F4,27,15.8,13.6,0.0
G4,22,19,13.6,0.0
H4,34,22.1,13.6,0.0
H3,35,22.1,16.8,0.0
G3,42,19,16.8,0.0
F3,60,15.8,16.8,0.0
E3,46,12.8,16.8,0.0
D3,55,9.4,16.8,0.0
C3,61,6.4,16.8,0.0
B3,39,3.4,16.8,0.0
A3,13,0.4,16.8,0.0
A2,58,0.3,19.8,0.0
B2,44,3.3,19.8,0.0
C2,47,6.3,19.8,0.0
D2,54,9.3,19.8,0.0
E2,50,12.6,19.8,0.0
F2,40,15.8,19.8,0.0
G2,41,18.8,19.8,0.0
H2,33,22,20,0.0
H1,48,22,23,0.0
G1,45,19,23,0.0
F1,43,16,23,0.0
E1,49,13,23,0.0
D1,57,9.6,23,0.0
C1,62,6.4,23,0.0
B1,51,3,23,0.0
A1,53,0.3,23,0.0
